SITE_CODE,TOP_PRF_INT,BOT_PRF_INT
341139N1191348W001,490,550
341139N1191348W002,380,400
341139N1191348W003,310,330
341139N1191348W004,180,200
341139N1191348W005,180,200
341139N1191348W005,310,330
341139N1191348W005,380,400
341139N1191348W005,490,550
341142N1177258W001,90,205
341142N1177258W001,217,223
341142N1177258W001,253,259
341142N1177258W001,271,277
341142N1177258W001,283,333
341142N1177258W001,392,400
341144N1173325W001,240,780
341150N1177115W001,126,136
341150N1177115W001,205,217
341168N1176272W001,230,370
341168N1176272W001,450,650
341171N1171999W001,297,322
341171N1171999W001,330,390
341190N1173080W001,420,440
341190N1173080W002,500,520
341190N1173080W003,373,393
341195N1179186W001,252,474
341197N1176184W001,223,245
341197N1176184W001,265,270
341197N1176184W001,371,411
341197N1176184W001,426,492
341200N1191065W001,930,970
341200N1191065W002,800,840
341200N1191065W003,600,640
341200N1191065W004,330,370
341200N1191065W005,180,220
341200N1191065W006,275,285
341212N1173742W001,384,420
341212N1173742W001,588,594
341212N1173742W001,608,614
341212N1173742W001,630,662
341212N1173742W001,696,720
341212N1173742W001,750,774
341212N1173742W001,832,844
341212N1173742W001,850,870
341212N1173742W001,876,888
341214N1164544W001,400,500
341214N1164544W001,520,590
341214N1164544W001,608,620
341214N1164544W001,644,720
341214N1164544W001,740,920
341214N1179430W001,290,435
341215N1172408W001,440,490
341217N1164436W001,341,348
341217N1175119W001,610,650
341219N1176980W001,300,390
341221N1173410W001,214,304
341221N1173410W001,460,510
341221N1173410W001,550,592
341225N1164475W001,370,396
341225N1164475W001,410,421
341225N1164475W001,445,475
341225N1164475W001,540,751
341228N1161389W001,250,350
341235N1182621W001,44,52
341235N1182621W001,97,105
341235N1182621W001,123,125
341236N1164575W001,245,545
341242N1164458W001,360,560
341242N1164458W001,580,680
341242N1164458W001,865,900
341242N1164536W001,398,640
341242N1164536W001,650,1010
341242N1191331W001,680,720
341242N1191331W002,540,580
341242N1191331W003,410,450
341242N1191331W004,310,330
341242N1191331W005,175,195
341247N1164289W001,300,480
341247N1164289W001,580,850
341247N1164597W001,245,310
341247N1174340W001,700,1120
341248N1191043W001,460,575
341253N1161422W001,391,410
341256N1164228W001,450,800
341256N1164230W001,920,1450
341256N1191615W001,1140,1200
341256N1191615W002,840,940
341256N1191615W003,420,470
341256N1191615W004,300,320
341256N1191615W005,200,220
341260N1172890W001,350,380
341260N1172890W002,490,520
341267N1164144W001,306,780
341267N1164161W001,275,725
341269N1164197W001,280,300
341270N1164204W004,550,570
341270N1164205W003,370,390
341272N1160397W001,34,36
341272N1164136W001,550,750
341272N1164136W001,790,830
341272N1164136W001,835,1115
341275N1160397W001,33,35
341280N1181195W001,96,116
341280N1181195W001,130,148
341281N1160405W001,75,77
341283N1160405W001,55,57
341287N1173479W001,213,250
341287N1173479W001,297,301
341287N1173479W001,318,324
341287N1173479W001,331,358
341287N1173479W001,390,438
341287N1173479W001,450,468
341287N1173479W001,478,503
341287N1176238W001,400,530
341287N1176238W001,550,610
341287N1176238W001,630,840
341295N1164133W004,210,230
341306N1191170W001,200,240
341308N1164072W001,400,1000
341308N1180857W002,300,780
341309N1163747W001,378,388
341317N1162475W001,261,391
341319N1181191W001,270,380
341319N1181191W001,400,810
341320N1160753W001,160,280
341320N1160753W001,300,320
341320N1160753W001,340,398
341320N1172001W001,306,348
341320N1172001W001,352,471
341323N1191187W001,720,740
341323N1191187W002,440,460
341323N1191187W003,295,315
341323N1191187W004,220,240
341325N1163184W001,522,532
341325N1191359W001,593,680
341327N1191577W001,523,652
341330N1180840W001,58,72
341330N1180840W001,88,90
341330N1180840W001,96,98
341330N1180840W001,170,224
341330N1180840W001,360,374
341330N1180840W001,386,420
341330N1180840W001,450,470
341330N1180840W001,480,490
341330N1180840W001,546,590
341330N1180840W001,612,650
341331N1176254W001,340,906
341333N1191673W001,330,350
341333N1191673W002,170,190
341333N1191673W003,100,110
341336N1162778W001,320,385
341342N1162366W001,527,590
341342N1175969W001,454,464
341342N1175969W001,511,536
341342N1175969W002,400,420
341342N1175969W002,440,490
341342N1175969W002,510,590
341342N1191535W001,310,476
341344N1179365W001,350,440
341344N1179365W001,450,535
341345N1163514W001,979,999
341345N1163514W002,900,920
341345N1163514W003,780,820
341346N1176026W001,286,840
341347N1163964W001,200,730
341353N1161928W001,200,400
341363N1162476W001,600,700
341370N1173180W001,410,440
341370N1173180W002,495,525
341370N1173180W003,325,355
341374N1190862W001,450,810
341378N1163708W001,360,660
341379N1176251W001,280,810
341380N1175981W001,288,646
341380N1175981W001,666,740
341380N1175981W001,820,867
341380N1175981W001,966,991
341382N1178864W001,120,540
341382N1178864W001,580,693
341384N1172408W001,455,519
341386N1162494W001,5,75
341392N1191501W001,310,350
341392N1191501W002,185,205
341392N1191501W003,55,65
341394N1163081W001,450,740
341397N1191360W001,446,606
341397N1191369W001,186,270
341397N1191626W001,432,480
341398N1191307W001,593,680
341399N1191504W001,524,620
341399N1191623W001,432,480
341407N1162905W001,470,720
341408N1191870W001,720,760
341408N1191870W002,255,275
341408N1191870W003,180,200
341409N1179394W001,127,136
341412N1174003W001,450,700
341412N1174003W001,750,850
341412N1174003W001,880,1040
341416N1161793W001,80,100
341416N1161793W001,140,160
341416N1161793W001,215,390
341416N1176876W001,300,390
341417N1162125W001,277,401
341419N1191890W001,1295,1395
341419N1191890W002,995,1095
341430N1190815W001,305,805
341430N1190863W001,115,371
341435N1175962W001,386,664
341436N1164829W001,120,290
341436N1164829W001,310,320
341448N1172282W001,280,425
341448N1172282W001,478,498
341450N1190926W001,463,923
341458N1192159W001,830,870
341458N1192159W002,500,520
341458N1192159W003,260,280
341461N1192162W001,720,760
341462N1179219W001,85,106
341462N1191031W001,190,415
341467N1191020W001,190,210
341467N1191020W001,378,415
341467N1191767W001,275,295
341467N1191767W002,175,195
341467N1191767W003,55,65
341469N1190130W001,320,398
341472N1190959W001,320,340
341472N1190959W001,362,398
341475N1191469W001,460,660
341476N1191120W001,120,190
341481N1191112W001,120,190
341482N1173679W001,340,455
341482N1173679W001,475,945
341510N1191179W001,600,800
341513N1190876W001,265,624
341515N1173682W001,464,695
341515N1173682W001,734,884
341519N1192153W001,900,940
341519N1192153W002,700,740
341519N1192153W003,520,560
341519N1192153W004,300,320
341519N1192153W005,150,170
341519N1192153W006,50,70
341524N1162739W001,380,490
341524N1162739W001,560,700
341524N1162739W001,720,730
341535N1191413W001,330,470
